layer,column_name,data_type,nullable,description,source_field,transformation_rule
staging.products,staged_at_utc,timestamptz (UTC),no,When staging ran,pipeline,one UTC timestamp per staging build
staging.orders,source_record_number,int64,no,1-based position of the record in the raw file (lineage),raw snapshot,assigned before dedup
staging.orders,pipeline_run_id,text,no,Run that produced the row,pipeline,"PIPELINE_RUN_ID from Airflow, else generated run_<UTC>_<uuid8>"
staging.orders,staged_at_utc,timestamptz (UTC),no,When staging ran,pipeline,one UTC timestamp per staging build
curated.sales_order_lines,order_id,text,no,Primary key and UPSERT conflict key,staging.orders.order_id,one row per order line
curated.sales_order_lines,customer_id,text,no,Customer reference,staging.orders.customer_id,"must exist in staging.customers, else quarantined (orphan_customer_id / customer_rejected_in_staging)"
curated.sales_order_lines,product_id,text,no,Product reference,staging.orders.product_id,"must exist in staging.products, else quarantined (orphan_product_id / product_rejected_in_staging)"
curated.sales_order_lines,order_timestamp,timestamptz,no,Order time (UTC),staging.orders.order_timestamp,as staged
curated.sales_order_lines,customer_city,text,yes,Customer city at processing time,staging.customers.city,many-to-one join on customer_id
curated.sales_order_lines,customer_tier,text,yes,Customer tier,staging.customers.customer_tier,many-to-one join on customer_id
curated.sales_order_lines,product_name,text,yes,Product name,staging.products.product_name,many-to-one join on product_id
curated.sales_order_lines,category,text,yes,Product category,staging.products.category_name,many-to-one join on product_id
curated.sales_order_lines,brand,text,yes,Product brand,staging.products.brand,many-to-one join on product_id
curated.sales_order_lines,quantity,integer,no,Units ordered,staging.orders.quantity,as staged (1..20)
curated.sales_order_lines,unit_price,"numeric(14,2)",no,Transacted unit price,staging.orders.unit_price,rounded to the cent
curated.sales_order_lines,discount_pct,"numeric(6,4)",no,Discount fraction,staging.orders.discount_pct,rounded to 4 decimals
curated.sales_order_lines,gross_amount,"numeric(16,2)",no,Line value before discount,derived,"quantity * unit_price (integer cents, exact)"
curated.sales_order_lines,discount_amount,"numeric(16,2)",no,Discount value,derived,gross_amount * discount_pct rounded half-up to the cent
curated.sales_order_lines,net_amount,"numeric(16,2)",no,Line value after discount,derived,gross_amount - discount_amount
curated.sales_order_lines,status,text,no,Order status,staging.orders.status,as staged
curated.sales_order_lines,source_updated_at,timestamptz,no,Version of the source order record,staging.orders.updated_at,copied from the order (the grain record)
curated.sales_order_lines,pipeline_run_id,text,no,Run that last wrote the row,pipeline,unchanged rows keep the run id of their last change (UPSERT skips an equal record_hash)
curated.sales_order_lines,processed_at_utc,timestamptz,no,When the curated build ran,pipeline,one UTC timestamp per curated build
curated.sales_order_lines,record_hash,text,no,SHA-256 of business content,derived,"canonicalized business columns only; excludes pipeline_run_id, processed_at_utc, record_hash"
quarantine,pipeline_run_id,text,no,Run that rejected the record,pipeline,
quarantine,quarantined_at_utc,timestamptz (UTC),no,When the record was rejected,pipeline,
quarantine,layer,text,no,staging or curated,pipeline,staging = record-level rule; curated = cross-source reference rule
quarantine,dataset,text,no,"customers, products, or orders",pipeline,
quarantine,business_key,text,yes,Key of the rejected record,source key column,null only when the key itself was blank
quarantine,source_record_number,int64,no,1-based position in the raw file,raw snapshot,traces back to the exact source record
quarantine,reason_codes,text,no,"Machine-readable reasons, ;-separated",rules,"e.g. negative_unit_price, quantity_out_of_range, invalid_status, orphan_customer_id"
quarantine,reason_detail,text,no,Human-readable explanation with the offending value,rules,
quarantine,source_record,text (JSON),no,Original record as received (staging) or as staged (curated),raw snapshot / staging,kept so the record can be diagnosed and reprocessed
